timeutc,isin,bidPrice,askPrice,bidUnits,askUnits,dateTimeBidAsk,lastPrice,dateTimeLastPrice,changeToPrevDayPercent,changeToPrevDayAbsolute,currentValidVolume
00:15:08.235396,DE0007164600,0.0,0.0,0.0,0.0,2023-04-24T17:45:00+02:00,119.88,2023-04-24T17:42:45+02:00,-1.4630938682,-1.78,222197902.4
00:15:08.236795,DE0005933931,0.0,0.0,0.0,0.0,2023-04-24T17:36:33+02:00,133.54,2023-04-24T17:36:22+02:00,-0.089780039,-0.12,13872002.66
00:15:08.239010,US0378331005,0.0,0.0,0.0,0.0,2023-04-24T17:45:30+02:00,149.06,2023-04-24T17:35:37+02:00,-0.9041350885,-1.36,5160717.24
00:55:09.354841,DE0005933931,0.0,0.0,0.0,0.0,2023-04-24T17:36:33+02:00,133.54,2023-04-24T17:36:22+02:00,-0.089780039,-0.12,13872002.66
00:55:09.355077,DE0007164600,0.0,0.0,0.0,0.0,2023-04-24T17:45:00+02:00,119.88,2023-04-24T17:42:45+02:00,-1.4630938682,-1.78,222197902.4
00:55:09.357291,US0378331005,0.0,0.0,0.0,0.0,2023-04-24T17:45:30+02:00,149.06,2023-04-24T17:35:37+02:00,-0.9041350885,-1.36,5160717.24
01:35:10.373478,DE0005933931,0.0,0.0,0.0,0.0,2023-04-24T17:36:33+02:00,133.54,2023-04-24T17:36:22+02:00,-0.089780039,-0.12,13872002.66
01:35:10.374947,DE0007164600,0.0,0.0,0.0,0.0,2023-04-24T17:45:00+02:00,119.88,2023-04-24T17:42:45+02:00,-1.4630938682,-1.78,222197902.4
01:35:10.376887,US0378331005,0.0,0.0,0.0,0.0,2023-04-24T17:45:30+02:00,149.06,2023-04-24T17:35:37+02:00,-0.9041350885,-1.36,5160717.24
02:15:11.547496,DE0005933931,0.0,0.0,0.0,0.0,2023-04-24T17:36:33+02:00,133.54,2023-04-24T17:36:22+02:00,-0.089780039,-0.12,13872002.66
02:15:11.547849,US0378331005,0.0,0.0,0.0,0.0,2023-04-24T17:45:30+02:00,149.06,2023-04-24T17:35:37+02:00,-0.9041350885,-1.36,5160717.24
02:15:11.552959,DE0007164600,0.0,0.0,0.0,0.0,2023-04-24T17:45:00+02:00,119.88,2023-04-24T17:42:45+02:00,-1.4630938682,-1.78,222197902.4
02:55:12.542399,DE0005933931,0.0,0.0,0.0,0.0,2023-04-24T17:36:33+02:00,133.54,2023-04-24T17:36:22+02:00,-0.089780039,-0.12,13872002.66
02:55:12.565403,US0378331005,0.0,0.0,0.0,0.0,2023-04-24T17:45:30+02:00,149.06,2023-04-24T17:35:37+02:00,-0.9041350885,-1.36,5160717.24
02:55:12.566572,DE0007164600,0.0,0.0,0.0,0.0,2023-04-24T17:45:00+02:00,119.88,2023-04-24T17:42:45+02:00,-1.4630938682,-1.78,222197902.4
03:35:13.727837,DE0005933931,0.0,0.0,0.0,0.0,2023-04-24T17:36:33+02:00,133.54,2023-04-24T17:36:22+02:00,-0.089780039,-0.12,13872002.66
03:35:13.728273,DE0007164600,0.0,0.0,0.0,0.0,2023-04-24T17:45:00+02:00,119.88,2023-04-24T17:42:45+02:00,-1.4630938682,-1.78,222197902.4
03:35:13.729105,US0378331005,0.0,0.0,0.0,0.0,2023-04-24T17:45:30+02:00,149.06,2023-04-24T17:35:37+02:00,-0.9041350885,-1.36,5160717.24
04:15:14.585720,DE0005933931,0.0,0.0,0.0,0.0,2023-04-24T17:36:33+02:00,133.54,2023-04-24T17:36:22+02:00,-0.089780039,-0.12,13872002.66
04:15:14.587653,US0378331005,0.0,0.0,0.0,0.0,2023-04-24T17:45:30+02:00,149.06,2023-04-24T17:35:37+02:00,-0.9041350885,-1.36,5160717.24
04:15:14.592969,DE0007164600,0.0,0.0,0.0,0.0,2023-04-24T17:45:00+02:00,119.88,2023-04-24T17:42:45+02:00,-1.4630938682,-1.78,222197902.4
04:55:00.699564,DE0005933931,0.0,0.0,0.0,0.0,2023-04-24T17:36:33+02:00,133.54,2023-04-24T17:36:22+02:00,-0.089780039,-0.12,13872002.66
04:55:00.742488,US0378331005,0.0,0.0,0.0,0.0,2023-04-24T17:45:30+02:00,149.06,2023-04-24T17:35:37+02:00,-0.9041350885,-1.36,5160717.24
04:55:00.744245,DE0007164600,0.0,0.0,0.0,0.0,2023-04-24T17:45:00+02:00,119.88,2023-04-24T17:42:45+02:00,-1.4630938682,-1.78,222197902.4
05:15:25.736720,DE0007164600,0.0,0.0,0.0,0.0,2023-04-24T23:51:01+02:00,119.88,2023-04-24T17:42:45+02:00,-1.4630938682,-1.78,222197902.4
05:15:25.737119,US0378331005,0.0,0.0,0.0,0.0,2023-04-24T23:50:56+02:00,149.06,2023-04-24T17:35:37+02:00,-0.9041350885,-1.36,5160717.24
05:15:25.738878,DE0005933931,0.0,0.0,0.0,0.0,2023-04-24T23:50:57+02:00,133.54,2023-04-24T17:36:22+02:00,-0.089780039,-0.12,13872002.66
05:55:11.706722,DE0005933931,0.0,0.0,0.0,0.0,2023-04-24T23:50:57+02:00,133.54,2023-04-24T17:36:22+02:00,-0.089780039,-0.12,13872002.66
05:55:11.708731,DE0007164600,0.0,0.0,0.0,0.0,2023-04-24T23:51:01+02:00,119.88,2023-04-24T17:42:45+02:00,-1.4630938682,-1.78,222197902.4
05:55:11.713982,US0378331005,0.0,0.0,0.0,0.0,2023-04-24T23:50:56+02:00,149.06,2023-04-24T17:35:37+02:00,-0.9041350885,-1.36,5160717.24
06:35:12.916715,DE0007164600,0.0,0.0,0.0,0.0,2023-04-24T23:51:01+02:00,119.88,2023-04-24T17:42:45+02:00,-1.4630938682,-1.78,222197902.4
06:35:12.918572,DE0005933931,0.0,0.0,0.0,0.0,2023-04-24T23:50:57+02:00,133.54,2023-04-24T17:36:22+02:00,-0.089780039,-0.12,13872002.66
06:35:12.920923,US0378331005,0.0,0.0,0.0,0.0,2023-04-24T23:50:56+02:00,149.06,2023-04-24T17:35:37+02:00,-0.9041350885,-1.36,5160717.24
07:15:59.823946,DE0007164600,122.42,122.48,223.0,379.0,2023-04-25T09:15:50+02:00,122.46,2023-04-25T09:15:51+02:00,2.1521521521,2.58,41039256.48
07:15:59.827986,DE0005933931,133.34,133.4,4828.0,225.0,2023-04-25T09:15:51+02:00,133.34,2023-04-25T09:15:45+02:00,-0.1497678599,-0.2,1864300.68
07:15:59.836270,US0378331005,149.22,149.38,24.0,197.0,2023-04-25T09:15:32+02:00,149.3,2023-04-25T09:07:04+02:00,0.1610089896,0.24,50119.04
07:15:59.840442,DE0007164600,122.46,122.48,51.0,130.0,2023-04-25T09:15:51+02:00,122.46,2023-04-25T09:15:51+02:00,2.1521521521,2.58,41039256.48
07:15:59.866620,DE0007164600,122.46,122.48,51.0,130.0,2023-04-25T09:15:51+02:00,122.46,2023-04-25T09:15:51+02:00,2.1521521521,2.58,41045501.94
07:15:59.880299,DE0007164600,122.42,122.48,422.0,314.0,2023-04-25T09:15:51+02:00,122.46,2023-04-25T09:15:51+02:00,2.1521521521,2.58,41045501.94
07:16:00.099318,DE0007164600,122.4,122.48,561.0,706.0,2023-04-25T09:15:55+02:00,122.46,2023-04-25T09:15:51+02:00,2.1521521521,2.58,41045501.94
07:16:00.163552,DE0005933931,133.32,133.4,15293.0,425.0,2023-04-25T09:15:56+02:00,133.34,2023-04-25T09:15:45+02:00,-0.1497678599,-0.2,1864300.68
07:16:00.203595,DE0007164600,122.4,122.46,561.0,46.0,2023-04-25T09:15:57+02:00,122.46,2023-04-25T09:15:51+02:00,2.1521521521,2.58,41045501.94
07:16:00.227728,DE0007164600,122.42,122.46,194.0,202.0,2023-04-25T09:15:58+02:00,122.46,2023-04-25T09:15:51+02:00,2.1521521521,2.58,41045501.94
07:16:00.308913,DE0007164600,122.42,122.46,64.0,344.0,2023-04-25T09:15:58+02:00,122.46,2023-04-25T09:15:58+02:00,2.1521521521,2.58,41087628.18
07:16:00.319331,DE0007164600,122.44,122.5,422.0,402.0,2023-04-25T09:15:59+02:00,122.46,2023-04-25T09:15:58+02:00,2.1521521521,2.58,41087628.18
07:16:10.601672,DE0007164600,122.46,122.5,422.0,34.0,2023-04-25T09:16:00+02:00,122.46,2023-04-25T09:15:58+02:00,2.1521521521,2.58,41087628.18
07:16:10.610209,DE0005933931,133.34,133.4,210.0,425.0,2023-04-25T09:16:00+02:00,133.34,2023-04-25T09:15:45+02:00,-0.1497678599,-0.2,1864300.68
07:16:10.730698,DE0007164600,122.46,122.5,422.0,34.0,2023-04-25T09:16:00+02:00,122.46,2023-04-25T09:16:03+02:00,2.1521521521,2.58,41088240.48
07:16:10.739687,DE0007164600,122.46,122.5,422.0,34.0,2023-04-25T09:16:00+02:00,122.46,2023-04-25T09:16:03+02:00,2.1521521521,2.58,41133183.3
