receivetime,time,aPrice0,aPrice1,aPrice2,aPrice3,aPrice4,aPrice5,aPrice6,aPrice7,aPrice8,aPrice9,aUnit0,aUnit1,aUnit2,aUnit3,aUnit4,aUnit5,aUnit6,aUnit7,aUnit8,aUnit9,bidPrice0,bidPrice1,bidPrice2,bidPrice3,bidPrice4,bidPrice5,bidPrice6,bidPrice7,bidPrice8,bidPrice9,bidUnit0,bidUnit1,bidUnit2,bidUnit3,bidUnit4,bidUnit5,bidUnit6,bidUnit7,bidUnit8,bidUnit9,askOffers0,askOffers1,askOffers2,askOffers3,askOffers4,askOffers5,askOffers6,askOffers7,askOffers8,askOffers9,bidOffers0,bidOffers1,bidOffers2,bidOffers3,bidOffers4,bidOffers5,bidOffers6,bidOffers7,bidOffers8,bidOffers9
15:35:04.425926,17:30:59+02:00,,,None,None,None,None,None,None,None,None,24465,20842,9428,3938,99,7629,1037,2361,135,2302,,,None,None,None,None,None,None,None,None,21303,20217,8456,49593,7629,2361,9,2302,3201,1126,3,7,5,2,1,1,8,2,1,1,3,5,4,3,1,2,1,1,2,1
15:35:04.929709,17:30:59+02:00,,,None,None,None,None,None,None,None,None,24465,20842,9428,3938,99,7629,1037,2361,135,2302,,,None,None,None,None,None,None,None,None,21303,20217,8456,49593,7629,2361,9,2302,3201,1126,3,7,5,2,1,1,8,2,1,1,3,5,4,3,1,2,1,1,2,1
15:35:05.564812,17:30:59+02:00,,,None,None,None,None,None,None,None,None,24465,20842,9428,3938,99,7629,1037,2361,135,2302,,,None,None,None,None,None,None,None,None,21303,20217,8456,49593,7629,2361,9,2302,3201,1126,3,7,5,2,1,1,8,2,1,1,3,5,4,3,1,2,1,1,2,1
15:35:05.962967,17:30:59+02:00,,,None,None,None,None,None,None,None,None,24465,20842,9428,3938,99,7629,1037,2361,135,2302,,,None,None,None,None,None,None,None,None,21303,20217,8456,49593,7629,2361,9,2302,3201,1126,3,7,5,2,1,1,8,2,1,1,3,5,4,3,1,2,1,1,2,1
15:35:06.391184,17:30:59+02:00,,,None,None,None,None,None,None,None,None,24465,20842,9428,3938,99,7629,1037,2361,135,2302,,,None,None,None,None,None,None,None,None,21303,20217,8456,49593,7629,2361,9,2302,3201,1126,3,7,5,2,1,1,8,2,1,1,3,5,4,3,1,2,1,1,2,1
15:35:17.595325,17:30:59+02:00,,,None,None,None,None,None,None,None,None,24465,20842,9428,3938,99,7629,1037,2361,135,2302,,,None,None,None,None,None,None,None,None,21303,20217,8456,49593,7629,2361,9,2302,3201,1126,3,7,5,2,1,1,8,2,1,1,3,5,4,3,1,2,1,1,2,1
15:35:17.595489,17:30:59+02:00,,,None,None,None,None,None,None,None,None,24465,20842,9428,3938,99,7629,1037,2361,135,2302,,,None,None,None,None,None,None,None,None,21303,20217,8456,49593,7629,2361,9,2302,3201,1126,3,7,5,2,1,1,8,2,1,1,3,5,4,3,1,2,1,1,2,1
15:35:17.595557,17:30:59+02:00,,,None,None,None,None,None,None,None,None,24465,20842,9428,3938,99,7629,1037,2361,135,2302,,,None,None,None,None,None,None,None,None,21303,20217,8456,49593,7629,2361,9,2302,3201,1126,3,7,5,2,1,1,8,2,1,1,3,5,4,3,1,2,1,1,2,1
15:35:18.193599,17:30:59+02:00,,,None,None,None,None,None,None,None,None,24465,20842,9428,3938,99,7629,1037,2361,135,2302,,,None,None,None,None,None,None,None,None,21303,20217,8456,49593,7629,2361,9,2302,3201,1126,3,7,5,2,1,1,8,2,1,1,3,5,4,3,1,2,1,1,2,1
15:35:18.479921,17:30:59+02:00,,,None,None,None,None,None,None,None,None,24465,20842,9428,3938,99,7629,1037,2361,135,2302,,,None,None,None,None,None,None,None,None,21303,20217,8456,49593,7629,2361,9,2302,3201,1126,3,7,5,2,1,1,8,2,1,1,3,5,4,3,1,2,1,1,2,1
