receivetime,time,aPrice0,aPrice1,aPrice2,aPrice3,aPrice4,aPrice5,aPrice6,aPrice7,aPrice8,aPrice9,aUnit0,aUnit1,aUnit2,aUnit3,aUnit4,aUnit5,aUnit6,aUnit7,aUnit8,aUnit9,bidPrice0,bidPrice1,bidPrice2,bidPrice3,bidPrice4,bidPrice5,bidPrice6,bidPrice7,bidPrice8,bidPrice9,bidUnit0,bidUnit1,bidUnit2,bidUnit3,bidUnit4,bidUnit5,bidUnit6,bidUnit7,bidUnit8,bidUnit9,askOffers0,askOffers1,askOffers2,askOffers3,askOffers4,askOffers5,askOffers6,askOffers7,askOffers8,askOffers9,bidOffers0,bidOffers1,bidOffers2,bidOffers3,bidOffers4,bidOffers5,bidOffers6,bidOffers7,bidOffers8,bidOffers9
15:35:01.861760,17:30:28+02:00,95.08,95.09,95.1,95.11,95.12,95.25,95.77,95.78,95.83,95.9,164,408,1799,1868,1468,11,4,276,17,5,95.03,95.02,95.01,95,94.99,94.98,94.97,94.96,94.91,94.89,161,328,1128,1628,1228,64,6,64,64,11,1,2,4,6,3,1,1,1,1,1,1,1,3,7,4,4,1,1,2,1
15:35:01.869022,17:30:26+02:00,95.1,95.11,95.12,95.21,95.25,95.77,95.78,95.83,95.9,96.03,1972,1868,1868,11,11,4,276,17,5,79,95.04,95.03,95.02,95.01,95,94.99,94.98,94.97,94.96,94.91,164,376,328,1788,1268,4,64,6,64,64,5,6,4,1,1,1,1,1,1,1,1,1,1,6,5,2,4,1,1,2
15:35:04.785522,17:30:26+02:00,95.1,95.11,95.12,95.21,95.25,95.77,95.78,95.83,95.9,96.03,1972,1868,1868,11,11,4,276,17,5,79,95.04,95.03,95.02,95.01,95,94.99,94.98,94.97,94.96,94.91,164,376,328,1788,1268,4,64,6,64,64,5,6,4,1,1,1,1,1,1,1,1,1,1,6,5,2,4,1,1,2
15:35:06.156764,17:30:26+02:00,95.1,95.11,95.12,95.21,95.25,95.77,95.78,95.83,95.9,96.03,1972,1868,1868,11,11,4,276,17,5,79,95.04,95.03,95.02,95.01,95,94.99,94.98,94.97,94.96,94.91,164,376,328,1788,1268,4,64,6,64,64,5,6,4,1,1,1,1,1,1,1,1,1,1,6,5,2,4,1,1,2
15:35:07.173027,17:30:26+02:00,95.1,95.11,95.12,95.21,95.25,95.77,95.78,95.83,95.9,96.03,1972,1868,1868,11,11,4,276,17,5,79,95.04,95.03,95.02,95.01,95,94.99,94.98,94.97,94.96,94.91,164,376,328,1788,1268,4,64,6,64,64,5,6,4,1,1,1,1,1,1,1,1,1,1,6,5,2,4,1,1,2
15:35:14.318311,17:30:26+02:00,95.1,95.11,95.12,95.21,95.25,95.77,95.78,95.83,95.9,96.03,1972,1868,1868,11,11,4,276,17,5,79,95.04,95.03,95.02,95.01,95,94.99,94.98,94.97,94.96,94.91,164,376,328,1788,1268,4,64,6,64,64,5,6,4,1,1,1,1,1,1,1,1,1,1,6,5,2,4,1,1,2
15:35:18.045199,17:30:26+02:00,95.1,95.11,95.12,95.21,95.25,95.77,95.78,95.83,95.9,96.03,1972,1868,1868,11,11,4,276,17,5,79,95.04,95.03,95.02,95.01,95,94.99,94.98,94.97,94.96,94.91,164,376,328,1788,1268,4,64,6,64,64,5,6,4,1,1,1,1,1,1,1,1,1,1,6,5,2,4,1,1,2
15:35:29.776876,17:30:26+02:00,95.1,95.11,95.12,95.21,95.25,95.77,95.78,95.83,95.9,96.03,1972,1868,1868,11,11,4,276,17,5,79,95.04,95.03,95.02,95.01,95,94.99,94.98,94.97,94.96,94.91,164,376,328,1788,1268,4,64,6,64,64,5,6,4,1,1,1,1,1,1,1,1,1,1,6,5,2,4,1,1,2
15:35:31.642355,17:30:26+02:00,95.1,95.11,95.12,95.21,95.25,95.77,95.78,95.83,95.9,96.03,1972,1868,1868,11,11,4,276,17,5,79,95.04,95.03,95.02,95.01,95,94.99,94.98,94.97,94.96,94.91,164,376,328,1788,1268,4,64,6,64,64,5,6,4,1,1,1,1,1,1,1,1,1,1,6,5,2,4,1,1,2
15:35:33.451383,17:30:26+02:00,95.1,95.11,95.12,95.21,95.25,95.77,95.78,95.83,95.9,96.03,1972,1868,1868,11,11,4,276,17,5,79,95.04,95.03,95.02,95.01,95,94.99,94.98,94.97,94.96,94.91,164,376,328,1788,1268,4,64,6,64,64,5,6,4,1,1,1,1,1,1,1,1,1,1,6,5,2,4,1,1,2
15:35:33.959848,17:30:26+02:00,95.1,95.11,95.12,95.21,95.25,95.77,95.78,95.83,95.9,96.03,1972,1868,1868,11,11,4,276,17,5,79,95.04,95.03,95.02,95.01,95,94.99,94.98,94.97,94.96,94.91,164,376,328,1788,1268,4,64,6,64,64,5,6,4,1,1,1,1,1,1,1,1,1,1,6,5,2,4,1,1,2
15:35:34.493492,17:30:26+02:00,95.1,95.11,95.12,95.21,95.25,95.77,95.78,95.83,95.9,96.03,1972,1868,1868,11,11,4,276,17,5,79,95.04,95.03,95.02,95.01,95,94.99,94.98,94.97,94.96,94.91,164,376,328,1788,1268,4,64,6,64,64,5,6,4,1,1,1,1,1,1,1,1,1,1,6,5,2,4,1,1,2
15:35:34.987480,17:30:26+02:00,95.1,95.11,95.12,95.21,95.25,95.77,95.78,95.83,95.9,96.03,1972,1868,1868,11,11,4,276,17,5,79,95.04,95.03,95.02,95.01,95,94.99,94.98,94.97,94.96,94.91,164,376,328,1788,1268,4,64,6,64,64,5,6,4,1,1,1,1,1,1,1,1,1,1,6,5,2,4,1,1,2
15:35:38.898146,17:30:26+02:00,95.1,95.11,95.12,95.21,95.25,95.77,95.78,95.83,95.9,96.03,1972,1868,1868,11,11,4,276,17,5,79,95.04,95.03,95.02,95.01,95,94.99,94.98,94.97,94.96,94.91,164,376,328,1788,1268,4,64,6,64,64,5,6,4,1,1,1,1,1,1,1,1,1,1,6,5,2,4,1,1,2
15:35:40.923864,17:30:26+02:00,95.1,95.11,95.12,95.21,95.25,95.77,95.78,95.83,95.9,96.03,1972,1868,1868,11,11,4,276,17,5,79,95.04,95.03,95.02,95.01,95,94.99,94.98,94.97,94.96,94.91,164,376,328,1788,1268,4,64,6,64,64,5,6,4,1,1,1,1,1,1,1,1,1,1,6,5,2,4,1,1,2
15:35:42.154930,17:30:26+02:00,95.1,95.11,95.12,95.21,95.25,95.77,95.78,95.83,95.9,96.03,1972,1868,1868,11,11,4,276,17,5,79,95.04,95.03,95.02,95.01,95,94.99,94.98,94.97,94.96,94.91,164,376,328,1788,1268,4,64,6,64,64,5,6,4,1,1,1,1,1,1,1,1,1,1,6,5,2,4,1,1,2
15:35:42.631294,17:30:26+02:00,95.1,95.11,95.12,95.21,95.25,95.77,95.78,95.83,95.9,96.03,1972,1868,1868,11,11,4,276,17,5,79,95.04,95.03,95.02,95.01,95,94.99,94.98,94.97,94.96,94.91,164,376,328,1788,1268,4,64,6,64,64,5,6,4,1,1,1,1,1,1,1,1,1,1,6,5,2,4,1,1,2
15:35:54.128645,17:30:26+02:00,95.1,95.11,95.12,95.21,95.25,95.77,95.78,95.83,95.9,96.03,1972,1868,1868,11,11,4,276,17,5,79,95.04,95.03,95.02,95.01,95,94.99,94.98,94.97,94.96,94.91,164,376,328,1788,1268,4,64,6,64,64,5,6,4,1,1,1,1,1,1,1,1,1,1,6,5,2,4,1,1,2
15:35:54.491740,17:30:26+02:00,95.1,95.11,95.12,95.21,95.25,95.77,95.78,95.83,95.9,96.03,1972,1868,1868,11,11,4,276,17,5,79,95.04,95.03,95.02,95.01,95,94.99,94.98,94.97,94.96,94.91,164,376,328,1788,1268,4,64,6,64,64,5,6,4,1,1,1,1,1,1,1,1,1,1,6,5,2,4,1,1,2
15:35:56.751061,17:35:56+02:00,95.1,95.11,95.12,95.21,95.25,95.77,95.78,95.83,95.9,96.03,1972,1868,1868,11,11,4,276,17,5,79,95.04,95.03,95.02,95.01,95,94.99,94.98,94.97,94.96,94.91,164,376,328,1788,1268,4,64,6,64,64,5,6,4,1,1,1,1,1,1,1,1,1,1,6,5,2,4,1,1,2
15:35:56.751259,17:35:56+02:00,,,None,None,None,None,None,None,None,None,1972,1868,1868,11,11,4,276,17,5,79,,,None,None,None,None,None,None,None,None,164,376,328,1788,1268,4,64,6,64,64,5,6,4,1,1,1,1,1,1,1,1,1,1,6,5,2,4,1,1,2
15:35:56.751462,17:35:56+02:00,,,None,None,None,None,None,None,None,None,1972,1868,1868,11,11,4,276,17,5,79,,,None,None,None,None,None,None,None,None,164,376,328,1788,1268,4,64,6,64,64,5,6,4,1,1,1,1,1,1,1,1,1,1,6,5,2,4,1,1,2
15:45:00.544305,17:35:56+02:00,,,None,None,None,None,None,None,None,None,1972,1868,1868,11,11,4,276,17,5,79,,,None,None,None,None,None,None,None,None,164,376,328,1788,1268,4,64,6,64,64,5,6,4,1,1,1,1,1,1,1,1,1,1,6,5,2,4,1,1,2
15:45:30.915363,17:35:56+02:00,,,None,None,None,None,None,None,None,None,1972,1868,1868,11,11,4,276,17,5,79,,,None,None,None,None,None,None,None,None,164,376,328,1788,1268,4,64,6,64,64,5,6,4,1,1,1,1,1,1,1,1,1,1,6,5,2,4,1,1,2
16:15:02.857983,17:30:28+02:00,95.08,95.09,95.1,95.11,95.12,95.25,95.77,95.78,95.83,95.9,164,408,1799,1868,1468,11,4,276,17,5,95.03,95.02,95.01,95,94.99,94.98,94.97,94.96,94.91,94.89,161,328,1128,1628,1228,64,6,64,64,11,1,2,4,6,3,1,1,1,1,1,1,1,3,7,4,4,1,1,2,1
18:15:06.615465,17:30:28+02:00,95.08,95.09,95.1,95.11,95.12,95.25,95.77,95.78,95.83,95.9,164,408,1799,1868,1468,11,4,276,17,5,95.03,95.02,95.01,95,94.99,94.98,94.97,94.96,94.91,94.89,161,328,1128,1628,1228,64,6,64,64,11,1,2,4,6,3,1,1,1,1,1,1,1,3,7,4,4,1,1,2,1
18:55:07.720905,17:30:28+02:00,95.08,95.09,95.1,95.11,95.12,95.25,95.77,95.78,95.83,95.9,164,408,1799,1868,1468,11,4,276,17,5,95.03,95.02,95.01,95,94.99,94.98,94.97,94.96,94.91,94.89,161,328,1128,1628,1228,64,6,64,64,11,1,2,4,6,3,1,1,1,1,1,1,1,3,7,4,4,1,1,2,1
